Ozone,Solar.R,Wind,Temp,Month,Day
41,190,7.4,67,5,1
36,118,8.0,72,5,2
12,149,12.6,74,5,3
18,313,11.5,62,5,4
,299,8.6,65,5,5
28,,14.9,66,5,6
23,299,8.6,65,5,7
19,99,13.8,59,5,8
8,19,20.1,61,5,9
,194,8.6,69,5,10
7,,6.9,74,5,11
16,256,9.7,69,5,12
11,290,9.2,66,5,13
14,274,10.9,68,5,14
18,65,13.2,58,5,15
14,334,11.5,64,5,16
34,307,12.0,66,5,17
6,78,18.4,57,5,18
30,322,11.5,68,5,19
11,44,9.7,62,5,20
1,8,9.7,59,5,21
11,320,16.6,73,5,22
4,25,9.7,61,5,23
32,92,12.0,61,5,24
,66,16.6,57,5,25
,266,14.9,58,5,26
, ,8.0,57,5,27
23,13,12.0,67,5,28
45,252,14.9,81,5,29
115,223,5.7,79,5,30
37,279,7.4,76,5,31
,286,8.6,78,6,1
,287,9.7,74,6,2
,242,16.1,67,6,3
,186,9.2,84,6,4
,220,8.6,85,6,5
,264,14.3,79,6,6
29,127,9.7,82,6,7
,273,6.9,87,6,8
71,291,13.8,90,6,9
39,323,11.5,87,6,10
,259,10.9,93,6,11
,250,9.2,92,6,12
23,148,8.0,82,6,13
,332,13.8,80,6,14
,322,11.5,79,6,15
21,191,14.9,77,6,16
37,284,20.7,72,6,17
20,37,9.2,65,6,18
12,120,11.5,73,6,19
13,137,10.3,76,6,20
,150,6.3,77,6,21
,59,1.7,76,6,22
,91,4.6,76,6,23
,250,6.3,76,6,24
,135,8.0,75,6,25
,127,8.0,78,6,26
,47,10.3,73,6,27
,98,11.5,80,6,28
,31,14.9,77,6,29
,138,8.0,83,6,30
135,269,4.1,84,7,1
49,248,9.2,85,7,2
32,236,9.2,81,7,3
,101,10.9,84,7,4
64,175,4.6,83,7,5
40,314,10.9,83,7,6
77,276,5.1,88,7,7
97,267,6.3,92,7,8
97,272,5.7,92,7,9
85,175,7.4,89,7,10
